Rename, Pupil_type, Pupil_type_bin,Activity_type,Nocturnal,Crepuscular,Diurnal,Nocturnal_prop, Pupil_type_revised, Pupil_type_revised_bin,Region,Ethiopian,Oriental,Palearctic,Neotropical,Nearctic,Habitat,Habitat_num,Desert,Savanna,Forest,Rainforest,Forest_Rainforest,Mountains,Low_elevation_m,High_elevation_m,Mating,Coat_pattern,Flecks,Uniform,Stripes,Rosettes,Blotches,SBlotch,Black_body_morethaneye with 0/1,Black_tail_morethaneye with 0/1,Black_body_morethaneye,Black_tail_morethaneye,Nose_color,Nose_black,Nose_pink,Length_low_cm,Length_high_cm,Length_avg_cm,Skull_Length_mm,Hybridization,Ancient Hybridization
Prionailurus_bengalensis_bengalensis,Vertical,0,"Nocturnal, Crepuscular",1,1,0,2,Vertical,0,oriental,0,1,0,0,0,savanna/forest/rainforest,3,0,1,1,1,1,0,0,3000,polygynous,Flecks,1,0,0,0,0,0,1,1,1,1,pink,0,1,38.8,75,56.9,82.5,Felis catus,Prionailurus viverrinus
Prionailurus_bengalensis_iriomotensis,Vertical,0,"Nocturnal, Diurnal",1,0,1,2,Vertical,0,oriental,0,1,0,0,0,forest/rainforest/mountains,3,0,0,1,1,1,1,0,469,monogamous,Flecks,1,0,0,0,0,0,0,0,0,0,pink,0,1,70,90,80,,,
Prionailurus_javanensis,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,oriental,0,1,0,0,0,forest/rainforest,2,0,0,1,1,1,0,,,NA,Flecks,1,0,0,0,0,0,1,1,1,1,pink,0,1,,,,,,
Prionailurus_planiceps,Vertical,0,"Nocturnal, Crepuscular",1,1,0,2,Vertical,0,oriental,0,1,0,0,0,forest,1,0,0,1,0,1,0,,,NA,Uniform,0,1,0,0,0,0,0,0,0,0,pink,0,1,33,50,41.5,96.2,,
Prionailurus_rubiginosus,Vertical,0,"Nocturnal, Crepuscular",1,1,0,2,Vertical,0,oriental,0,1,0,0,0,forest,1,0,0,1,0,1,0,,,polygynous/monogamous,Flecks,1,0,0,0,0,0,0,0,0,0,pink,0,1,35,48,41.5,,,
Prionailurus_viverrinus,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,oriental,0,1,0,0,0,forest/marsh/swamp,3,0,0,1,0,1,0,,2100,polygynous,Flecks,1,0,0,0,0,0,1,1,1,1,pink,0,1,65.8,85.7,75.75,118.1,Felis catus,Prionailurus bengalensis bengalensis
Prionodon_linsang,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,oriental,0,1,0,0,0,rainforest,1,0,0,1,1,1,0,,,NA,Flecks,1,0,0,0,0,0,1,1,1,1,pink,0,1,,40,40,,,
Puma_concolor,Round,2,Nocturnal,1,0,0,3,Round,1,neotropical/nearctic,0,0,0,1,1,desert/savanna/chaparral/forest/rainforest/mountains,6,1,1,1,1,1,1,,,polygynous,Uniform,0,1,0,0,0,0,0,0,0,0,pink,0,1,110,169,139.5,178.7,"Panthera pardus, Leopardus_pardalis_pardalis",
Crocuta_crocuta,Vertical,0,"Nocturnal, Diurnal",1,0,1,2,Vertical,0,ethiopian,1,0,0,0,0,desert/savanna/forest/mountains,4,1,1,1,0,1,1,,,polygynous,Flecks,1,0,0,0,0,0,0,1,0,1,black,1,0,,,,,,
Genetta_genetta,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,ethiopian,1,0,0,0,0,savanna/forest,2,0,1,1,0,1,0,,,NA,Flecks,1,0,0,0,0,0,1,1,1,1,black/pink,1,1,,,,,,
Vulpes_zerda,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,ethiopian,1,0,0,0,0,desert,1,1,0,0,0,0,0,,,monogamous,Uniform,0,1,0,0,0,0,0,0,0,0,black,1,0,,,,,,
